Assistance No.;Job No.;Vessel;Description;Vessel Name;Job;Departure;Arrival;Start Mobilisation;Ordered;On Site;Start - On Site;Lignes;Start Job;Start Job - End Job;Lignes2;End Job;End Job - End Mobilisation;Lignes3;End Mobilisation;Total;Lignes4;Assistant Hrs;Running Hrs.;Time Registration;Used Configuration;Comments
ASS21052794;JOB21027181;SOUTHAMPTON;Southampton;TARAGO;LOCK;Zuidelijk Insteekdok SRT ZID;;18/05/21 17:30:00;18/05/21 18:00:00;18/05/21 18:00:00;;;18/05/21 18:00:00;;;18/05/21 19:20:53;;;18/05/21 19:50:00;;;1,3;2,3;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21052676;JOB21027077;SOUTHAMPTON;Southampton;DUGONG ACE;LOCK;;Zuidelijk Insteekdok ZID WEST;18/05/21 11:20:00;18/05/21 11:35:00;18/05/21 11:45:00;;;18/05/21 11:45:00;;;18/05/21 13:55:00;;;18/05/21 14:25:00;;;2,2;3,1;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21052558;JOB21027019;SOUTHAMPTON;Southampton;LYDDEN;SHIFT ACHTERHAVEN;;Zuidelijk Insteekdok ZID WEST;18/05/21 02:10:00;18/05/21 02:30:00;18/05/21 02:20:00;;;18/05/21 02:26:00;;;18/05/21 03:15:39;;;18/05/21 05:50:00;;;0,8;3,7;Finished;TOWING WINCH FWD / STBD;VRAI
ASS21052528;JOB21027003;SOUTHAMPTON;Southampton;PORGY;LOCK;;Zuidelijk Insteekdok WALLENIUS;17/05/21 22:45:00;17/05/21 23:35:00;17/05/21 23:15:00;;;17/05/21 23:36:34;;;18/05/21 02:10:00;;;18/05/21 02:10:00;;;2,6;3,4;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21052491;JOB21026986;SOUTHAMPTON;Southampton;MORNING LENA;LOCK;Zuidelijk Insteekdok WALLENIUS;;17/05/21 17:50:00;17/05/21 17:50:00;17/05/21 18:03:19;;;17/05/21 18:03:25;;;17/05/21 19:20:56;;;17/05/21 20:10:00;;;1,3;2,3;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21052296;JOB21026847;SOUTHAMPTON;Southampton;LYDDEN;LOCK;;Zuidelijk Insteekdok ZID WEST;17/05/21 10:40:00;17/05/21 11:35:00;17/05/21 11:35:00;;;17/05/21 11:40:00;;;17/05/21 14:00:00;;;17/05/21 14:30:00;;;2,3;3,8;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21052203;JOB21026823;SOUTHAMPTON;Southampton;CELINE;VOORHAVEN;;Brittaniadok C.RO  BRITTANNIADOK;17/05/21 08:30:00;17/05/21 09:10:00;17/05/21 09:00:00;;;17/05/21 09:10:00;;;17/05/21 09:40:00;;;17/05/21 10:10:00;;;0,5;1,7;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21052108;JOB21026775;SOUTHAMPTON;Southampton;ISOLDANA;VOORHAVEN;Albert II dok APM TERMINAL;;17/05/21 01:30:00;17/05/21 02:00:00;17/05/21 01:50:10;;;17/05/21 01:56:12;;;17/05/21 03:23:07;;;17/05/21 03:55:00;;;1,4;2,4;Finished;TOWING WINCH FWD / STBD;VRAI
ASS21052088;JOB21026756;SOUTHAMPTON;Southampton;CSCL URANUS;VOORHAVEN;;Albert II dok APM TERMINAL;16/05/21 21:50:00;16/05/21 22:25:00;16/05/21 22:21:16;;;16/05/21 22:38:14;;;16/05/21 23:36:28;;;17/05/21 00:05:00;;;1,;2,3;Finished;;VRAI
ASS21052061;JOB21026747;SOUTHAMPTON;Southampton;PROMETHEUS LEADER;LOCK;;Zuidelijk Insteekdok ZID WEST;16/05/21 19:15:00;16/05/21 19:45:00;16/05/21 19:40:00;;;16/05/21 19:51:14;;;16/05/21 20:13:34;;;16/05/21 20:35:00;;;0,4;1,3;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21052043;JOB21026740;SOUTHAMPTON;Southampton;MESAIMEER;VOORHAVEN;LNG LNG STEIGER WEST;;16/05/21 17:30:00;16/05/21 17:55:00;16/05/21 17:50:00;;;16/05/21 18:00:00;;;16/05/21 18:45:00;;;16/05/21 19:15:00;;;0,8;1,8;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21051960;JOB21026701;SOUTHAMPTON;Southampton;CSCL ARCTIC OCEAN;VOORHAVEN;Albert II dok APM TERMINAL;;16/05/21 12:40:00;16/05/21 13:30:00;16/05/21 13:10:00;;;16/05/21 13:30:00;;;16/05/21 14:16:00;;;16/05/21 14:46:00;;;0,8;2,1;Finished;TOWING WINCH FWD / PORT;FAUX
ASS21051853;JOB21026661;SOUTHAMPTON;Southampton;CLEAN VISION;VOORHAVEN;;LNG LNG TERMINAL;16/05/21 06:15:00;19/05/21 10:30:00;16/05/21 06:45:00;;;16/05/21 07:00:00;;;16/05/21 08:45:00;;;16/05/21 09:15:00;;;1,8;3,;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21051748;JOB21026608;SOUTHAMPTON;Southampton;TITUS;LOCK;Zuidelijk Insteekdok WALLENIUS;;15/05/21 21:15:00;15/05/21 22:10:00;15/05/21 22:00:00;;;15/05/21 22:09:35;;;15/05/21 23:40:39;;;16/05/21 00:10:00;;;1,5;2,9;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21051722;JOB21026593;SOUTHAMPTON;Southampton;BALTIC ERICA;LOCK;Noordelijk Insteekdok BNFW OOST;;15/05/21 19:00:00;15/05/21 19:30:00;15/05/21 19:30:00;;;15/05/21 19:34:49;;;15/05/21 21:01:01;;;15/05/21 21:15:00;;;1,4;2,3;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21051619;JOB21026544;SOUTHAMPTON;Southampton;AEGEAN HIGHWAY;LOCK;;Zuidelijk Insteekdok TOYOTA ZID;15/05/21 11:10:00;15/05/21 11:45:00;15/05/21 11:30:00;;;15/05/21 11:45:00;;;15/05/21 14:14:16;;;15/05/21 14:45:00;;;2,5;3,6;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21051453;JOB21026464;SOUTHAMPTON;Southampton;CORAL ENERGY;VOORHAVEN;;LNG LNG TERMINAL;14/05/21 19:40:00;14/05/21 20:20:00;14/05/21 20:15:00;;;14/05/21 20:21:08;;;14/05/21 21:30:44;;;14/05/21 21:50:00;;;1,2;2,2;Finished;TOWING WINCH FWD / PORT;FAUX
ASS21051187;JOB21026264;SOUTHAMPTON;Southampton;COSCO SHIPPING PENG CHENG;VOORHAVEN;;Albert II dok APM TERMINAL;14/05/21 00:23:34;14/05/21 01:20:00;14/05/21 01:10:00;;;14/05/21 01:21:30;;;14/05/21 02:51:56;;;14/05/21 03:20:00;;;1,5;2,9;Finished;TOWING WINCH FWD / PORT;VRAI
