Assistance No.;Job No.;Vessel;Description;Vessel Name;Job;Departure;Arrival;Start Mobilisation;Ordered;On Site;Start - On Site;Lignes;Start Job;Start Job - End Job;Lignes2;End Job;End Job - End Mobilisation;Lignes3;End Mobilisation;Total;Lignes4;Assistant Hrs;Running Hrs.;Time Registration;Used Configuration;Comments
ASS21042749;JOB21022041;SOUTHAMPTON;Southampton;YAMAL SPIRIT;VOORHAVEN;;LNG LNG TERMINAL;2021-04-22 11:37:28;22/04/21 12:00:00;2021-04-22 11:54:33;175.35750000000002;77128 - 77144;22/04/21 11:57:00;;;22/04/21 13:28:12;;;22/04/21 13:30:00;;;1,5;1,9;Finished;TOWING WINCH FWD / PORT;FAUX
ASS21042652;JOB21021955;SOUTHAMPTON;Southampton;CORAL LEADER;LOCK;;Zuidelijk Insteekdok TOYOTA ZID;2021-04-22 02:55:00;22/04/21 01:55:00;2021-04-22 03:00:00;3.5633;76605 - 76609;22/04/21 03:30:00;;;22/04/21 04:05:00;;;22/04/21 04:35:00;;;0,6;1,7;Finished;;VRAI
ASS21042566;JOB21021929;SOUTHAMPTON;Southampton;LIBERTY;SHIFT ACHTERHAVEN;;Zuidelijk Insteekdok ZID OOST;2021-04-21 20:00:00;21/04/21 20:25:00;2021-04-21 20:20:00;72.2452;76190 - 76209;21/04/21 20:30:00;;;21/04/21 21:20:00;;;21/04/21 21:50:00;;;0,8;1,8;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21042489;JOB21021891;SOUTHAMPTON;Southampton;RUDOLF SAMOYLOVICH;VOORHAVEN;;LNG LNG STEIGER WEST;2021-04-21 17:00:00;21/04/21 17:25:00;2021-04-21 17:25:00;165.6244;76010 - 76034;21/04/21 17:25:00;;;21/04/21 19:10:00;;;21/04/21 19:40:00;;;1,8;2,7;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21042467;JOB21021887;SOUTHAMPTON;Southampton;HERMINE;SHIFT VOORHAVEN;;Brittaniadok C.RO  BRITTANNIADOK;2021-04-21 14:15:00;21/04/21 14:45:00;2021-04-21 14:45:00;16.078699999999998;75846 - 75875;21/04/21 14:45:00;;;21/04/21 15:25:00;;;21/04/21 15:55:00;;;0,7;1,7;Finished;;VRAI
ASS21042177;JOB21021731;SOUTHAMPTON;Southampton;MONZA EXPRESS;LOCK;Zuidelijk Insteekdok ZID WEST;;2021-04-20 21:30:00;20/04/21 21:45:00;2021-04-20 21:40:00;32.908699999999996;74840 - 74849;20/04/21 21:45:00;;;20/04/21 23:05:00;;;20/04/21 23:35:00;;;1,3;2,1;Finished;TOWING WINCH FWD / PORT;FAUX
ASS21042158;JOB21021717;SOUTHAMPTON;Southampton;MARGUERITE ACE;LOCK;Zuidelijk Insteekdok TOYOTA ZID;;2021-04-20 17:30:00;20/04/21 17:50:00;2021-04-20 17:50:00;8.314699999999998;74600 - 74619;20/04/21 17:51:55;;;20/04/21 19:05:00;;;20/04/21 19:35:00;;;1,2;2,1;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21041952;JOB21021612;SOUTHAMPTON;Southampton;LIBERTY;LOCK;;Zuidelijk Insteekdok ZID OOST;2021-04-20 11:00:00;20/04/21 11:55:00;2021-04-20 11:30:00;40.185500000000005;74211 - 74240;20/04/21 11:55:51;;;20/04/21 14:58:29;;;20/04/21 15:30:00;;;3,;4,5;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21041783;JOB21021532;SOUTHAMPTON;Southampton;PERMIAN LADY;VOORHAVEN;Geul West - ZP1 BBM;;2021-04-19 22:45:00;19/04/21 23:00:00;2021-04-19 23:00:00;20.6339;73475 - 73489;19/04/21 23:00:00;;;19/04/21 23:15:00;;;19/04/21 23:45:00;;;0,3;1,;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21041628;JOB21021433;SOUTHAMPTON;Southampton;TAIPAN;LOCK;Noordelijk Insteekdok CTO OOST;;2021-04-19 13:30:00;19/04/21 13:50:00;2021-04-19 13:50:00;37.8173;72921 - 72940;19/04/21 13:50:50;;;19/04/21 16:00:48;;;19/04/21 16:30:00;;;2,2;3,;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21041439;JOB21021330;SOUTHAMPTON;Southampton;TORTUGAS;LOCK;;Zuidelijk Insteekdok SRT ZID;2021-04-19 02:04:13;19/04/21 01:40:00;2021-04-19 03:00:00;1.6210000000000002;72234 - 72289;19/04/21 03:20:00;;;19/04/21 03:55:00;;;19/04/21 04:25:00;;;0,6;2,3;Finished;;VRAI
ASS21041428;JOB21021328;SOUTHAMPTON;Southampton;TAIPAN;SHIFT ACHTERHAVEN;k531;k405;2021-04-19 00:25:00;19/04/21 01:00:00;2021-04-19 00:35:00;11.048200000000001;72135 - 72144;19/04/21 01:00:00;;;19/04/21 01:45:00;;;19/04/21 01:45:00;;;0,8;1,3;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21041387;JOB21021311;SOUTHAMPTON;Southampton;COOL EAGLE;LOCK;;Noordelijk Insteekdok BNFW OOST;2021-04-18 21:15:00;18/04/21 22:05:00;2021-04-18 21:45:00;20.883200000000002;71945 - 71974;18/04/21 22:05:00;;;19/04/21 00:25:00;;;19/04/21 00:25:00;;;2,3;3,2;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21041313;JOB21021276;SOUTHAMPTON;Southampton;ARC INTEGRITY;LOCK;Zuidelijk Insteekdok SRT ZID;;2021-04-18 14:45:00;18/04/21 16:30:00;2021-04-18 16:27:00;95.29750000000001;71556 - 71657;18/04/21 16:31:11;;;18/04/21 17:44:27;;;18/04/21 18:15:00;;;1,2;3,5;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21041170;JOB21021213;SOUTHAMPTON;Southampton;COSCO SHIPPING AZALEA;VOORHAVEN;;Albert II dok APM TERMINAL;2021-04-18 06:47:59;18/04/21 07:25:00;2021-04-18 07:24:52;102.4128;71078 - 71113;18/04/21 07:24:54;;;18/04/21 08:30:11;;;18/04/21 09:00:11;;;1,1;2,2;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21041140;JOB21021197;SOUTHAMPTON;Southampton;CORAL MEDUSA;VOORHAVEN;Geul West - ZP1 BBM;;2021-04-18 04:45:00;18/04/21 05:15:00;2021-04-18 05:15:00;21.867;70955 - 70984;18/04/21 05:15:00;;;18/04/21 05:35:00;;;18/04/21 06:05:00;;;0,3;1,3;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21040982;JOB21021131;SOUTHAMPTON;Southampton;CORAL MEDUSA;VOORHAVEN;;Geul West - ZP1 BBM;2021-04-17 13:00:00;17/04/21 13:40:00;2021-04-17 13:30:00;30.361800000000006;70011 - 70040;17/04/21 13:41:00;;;17/04/21 14:14:47;;;17/04/21 14:44:15;;;0,6;1,7;Finished;TOWING WINCH FWD / PORT;FAUX
ASS21040854;JOB21021005;SOUTHAMPTON;Southampton;FEGULUS;LOCK;Noordelijk Insteekdok CTO OOST;;2021-04-17 02:40:00;17/04/21 02:55:00;2021-04-17 02:55:00;66.9978;69390 - 69404;17/04/21 02:55:00;;;17/04/21 04:50:00;;;17/04/21 05:20:00;;;1,9;2,7;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21040844;JOB21021075;SOUTHAMPTON;Southampton;PASSERO;LOCK;;Zuidelijk Insteekdok TOYOTA ZID;2021-04-17 01:40:00;17/04/21 00:30:00;2021-04-17 01:45:00;0.8785000000000001;69330 - 69334;17/04/21 01:50:00;;;17/04/21 02:40:00;;;17/04/21 02:40:00;;;0,8;1,;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21040806;JOB21021062;SOUTHAMPTON;Southampton;CATTLEYA ACE;LOCK;;Noordelijk Insteekdok ICO WEST;2021-04-16 22:40:00;16/04/21 21:30:00;2021-04-16 22:40:00;;;16/04/21 22:50:00;;;16/04/21 23:35:00;;;17/04/21 00:05:00;;;0,8;1,4;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21040780;JOB21021063;SOUTHAMPTON;Southampton;NORD VANQUISH;SHIFT ACHTERHAVEN;;Verbindingsdok TAMECO BUITENZIJDE STEIGER;2021-04-16 20:15:00;16/04/21 21:00:00;2021-04-16 20:40:00;70.4419;69005 - 69029;16/04/21 21:00:00;;;16/04/21 21:55:00;;;16/04/21 22:25:00;;;0,9;2,2;Finished;TOWING WINCH FWD / PORT;VRAI
